Product Name,Category,SKU,Filling,Weight,Customer Price,,,
55X55CM,INSERTS,JB245,50% Down 50% Feather,Extra Firm Fill,50.3,,,
55X55CM,INSERTS,JB246,80% Down 20% Feather,Normal,$65.00,,,
55X55CM,INSERTS,JB247,80% Down 20% Feather,Firm Fill,67.6,,,
55X55CM,INSERTS,JB248,80% Down 20% Feather,Extra Firm Fill,70.2,,,
60X40CM,INSERTS,JB249,100% Feather,Normal,$15.50,,,
60X40CM,INSERTS,JB250,100% Feather,Extra Firm Fill,16.1,,,
60X40CM,INSERTS,JB251,Duck Feather - Foam,Normal,$17.50,,,
60X40CM,INSERTS,JB252,Duck Feather - Foam,Firm Fill,18.1,,,
60X40CM,INSERTS,JB253,Duck Feather - Foam,Extra Firm Fill,18.7,,,
60X40CM,INSERTS,JB254,Duck Feather - Fibre,Normal,$17.50,,,
60X40CM,INSERTS,JB255,Duck Feather - Fibre,Firm Fill,18.1,,,
60X40CM,INSERTS,JB256,Duck Feather - Fibre,Extra Firm Fill,18.7,,,
60X40CM,INSERTS,JB257,100% Polyester,Normal,$17.50,,,
60X40CM,INSERTS,JB258,100% Polyester,Firm Fill,18.1,,,
60X40CM,INSERTS,JB259,100% Polyester,Extra Firm Fill,18.7,,,
60X40CM,INSERTS,JB260,30% Down 70% Feather,Normal,$30.50,,,
60X40CM,INSERTS,JB261,30% Down 70% Feather,Firm Fill,33.1,,,
60X40CM,INSERTS,JB262,30% Down 70% Feather,Extra Firm Fill,35.7,,,
60X40CM,INSERTS,JB263,50% Down 50% Feather,Normal,$49.00,,,
60X40CM,INSERTS,JB264,50% Down 50% Feather,Firm Fill,51.6,,,
60X40CM,INSERTS,JB265,50% Down 50% Feather,Extra Firm Fill,54.2,,,
60X40CM,INSERTS,JB266,80% Down 20% Feather,Normal,$60.00,,,
60X40CM,INSERTS,JB267,80% Down 20% Feather,Firm Fill,62.6,,,
