Product Name	Category	SKU	Filling	Weight	Customer Price
60X60CM	INSERTS	MW312	100% Feather	Extra Firm Fill	16.2
60X60CM	INSERTS	MW313	Duck Feather - Foam	Normal	$17.25
60X60CM	INSERTS	MW314	Duck Feather - Foam	Firm Fill	17.85
60X60CM	INSERTS	MW315	Duck Feather - Foam	Extra Firm Fill	18.45
60X60CM	INSERTS	MW316	Duck Feather - Fibre	Normal	$17.25
60X60CM	INSERTS	MW317	Duck Feather - Fibre	Firm Fill	17.85
60X60CM	INSERTS	MW318	Duck Feather - Fibre	Extra Firm Fill	18.45
60X60CM	INSERTS	MW319	100% Polyester	Normal	$17.25
60X60CM	INSERTS	MW320	100% Polyester	Firm Fill	17.85
60X60CM	INSERTS	MW321	100% Polyester	Extra Firm Fill	18.45
60X60CM	INSERTS	MW322	30% Down 70% Feather	Normal	$39.00
60X60CM	INSERTS	MW323	30% Down 70% Feather	Firm Fill	41.6
60X60CM	INSERTS	MW324	30% Down 70% Feather	Extra Firm Fill	44.2
60X60CM	INSERTS	MW325	50% Down 50% Feather	Normal	$64.40
60X60CM	INSERTS	MW326	50% Down 50% Feather	Firm Fill	67
60X60CM	INSERTS	MW327	50% Down 50% Feather	Extra Firm Fill	69.6
60X60CM	INSERTS	MW328	80% Down 20% Feather	Normal	$79.00
60X60CM	INSERTS	MW329	80% Down 20% Feather	Firm Fill	81.6
60X60CM	INSERTS	MW330	80% Down 20% Feather	Extra Firm Fill	84.2
65X40CM	INSERTS	MW331	100% Feather	Normal	$16.50
65X40CM	INSERTS	MW332	100% Feather	Firm Fill	17.1
65X40CM	INSERTS	MW333	100% Feather	Extra Firm Fill	17.7
65X40CM	INSERTS	MW334	Duck Feather - Foam	Normal	$18.50
65X40CM	INSERTS	MW335	Duck Feather - Foam	Firm Fill	19.1
65X40CM	INSERTS	MW336	Duck Feather - Foam	Extra Firm Fill	19.7
65X40CM	INSERTS	MW337	Duck Feather - Fibre	Normal	$18.50
65X40CM	INSERTS	MW338	Duck Feather - Fibre	Firm Fill	19.1
65X40CM	INSERTS	MW339	Duck Feather - Fibre	Extra Firm Fill	19.7
65X40CM	INSERTS	MW340	100% Polyester	Normal	$18.50
65X40CM	INSERTS	MW341	100% Polyester	Firm Fill	19.1
65X40CM	INSERTS	MW342	100% Polyester	Extra Firm Fill	19.7
65X40CM	INSERTS	MW343	30% Down 70% Feather	Normal	$31.50
65X40CM	INSERTS	MW344	30% Down 70% Feather	Firm Fill	34.1
65X40CM	INSERTS	MW345	30% Down 70% Feather	Extra Firm Fill	36.7
65X40CM	INSERTS	MW346	50% Down 50% Feather	Normal	$50.00
65X40CM	INSERTS	MW347	50% Down 50% Feather	Firm Fill	52.6
65X40CM	INSERTS	MW348	50% Down 50% Feather	Extra Firm Fill	55.2
65X40CM	INSERTS	MW349	80% Down 20% Feather	Normal	$61.00
65X40CM	INSERTS	MW350	80% Down 20% Feather	Firm Fill	63.6
65X40CM	INSERTS	MW351	80% Down 20% Feather	Extra Firm Fill	66.2
65X65CM	INSERTS	MW352	100% Feather	Normal	$22.00
65X65CM	INSERTS	MW353	100% Feather	Firm Fill	22.6
65X65CM	INSERTS	MW354	100% Feather	Extra Firm Fill	23.2
65X65CM	INSERTS	MW355	Duck Feather - Foam	Normal	$28.75
