Product Name,SKU,Category,Filling,Weight, Customer Price 
55X55CM ,INSE-011,INSERTS,30% Down 70% Feather,Normal,$30.25 
55X55CM ,INSE-011,INSERTS,30% Down 70% Feather,Firm Fill,$32.85 
55X55CM ,INSE-011,INSERTS,30% Down 70% Feather,Extra Firm Fill,$35.45 
55X55CM ,INSE-011,INSERTS,50% Down 50% Feather,Normal,$45.10 
55X55CM ,INSE-011,INSERTS,50% Down 50% Feather,Firm Fill,$47.70 
55X55CM ,INSE-011,INSERTS,50% Down 50% Feather,Extra Firm Fill,$50.30 
55X55CM ,INSE-011,INSERTS,80% Down 20% Feather,Normal,$65.00 
55X55CM ,INSE-011,INSERTS,80% Down 20% Feather,Firm Fill,$67.60 
55X55CM ,INSE-011,INSERTS,80% Down 20% Feather,Extra Firm Fill,$70.20 
60X40CM ,INSE-012,INSERTS,100% Feather,Normal,$15.50 
60X40CM ,INSE-012,INSERTS,100% Feather,Firm Fill,$16.10 
60X40CM ,INSE-012,INSERTS,100% Feather,Extra Firm Fill,$16.70 
60X40CM ,INSE-012,INSERTS,Duck Feather - Foam,Normal,$17.50 
60X40CM ,INSE-012,INSERTS,Duck Feather - Foam,Firm Fill,$18.10 
60X40CM ,INSE-012,INSERTS,Duck Feather - Foam,Extra Firm Fill,$18.70 
60X40CM ,INSE-012,INSERTS,Duck Feather - Fibre,Normal,$17.50 
60X40CM ,INSE-012,INSERTS,Duck Feather - Fibre,Firm Fill,$18.10 
60X40CM ,INSE-012,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$18.70 
60X40CM ,INSE-012,INSERTS,100% Polyester,Normal,$17.50 
60X40CM ,INSE-012,INSERTS,100% Polyester,Firm Fill,$18.10 
60X40CM ,INSE-012,INSERTS,100% Polyester,Extra Firm Fill,$18.70 
60X40CM ,INSE-012,INSERTS,30% Down 70% Feather,Normal,$30.50 
60X40CM ,INSE-012,INSERTS,30% Down 70% Feather,Firm Fill,$33.10 
60X40CM ,INSE-012,INSERTS,30% Down 70% Feather,Extra Firm Fill,$35.70 
60X40CM ,INSE-012,INSERTS,50% Down 50% Feather,Normal,$49.00 
60X40CM ,INSE-012,INSERTS,50% Down 50% Feather,Firm Fill,$51.60 
60X40CM ,INSE-012,INSERTS,50% Down 50% Feather,Extra Firm Fill,$54.20 
60X40CM ,INSE-012,INSERTS,80% Down 20% Feather,Normal,$60.00 
60X40CM ,INSE-012,INSERTS,80% Down 20% Feather,Firm Fill,$62.60 
60X40CM ,INSE-012,INSERTS,80% Down 20% Feather,Extra Firm Fill,$65.20 
60X60CM ,INSE-013,INSERTS,100% Feather,Normal,$15.00 
60X60CM ,INSE-013,INSERTS,100% Feather,Firm Fill,$15.60 
60X60CM ,INSE-013,INSERTS,100% Feather,Extra Firm Fill,$16.20 
60X60CM ,INSE-013,INSERTS,Duck Feather - Foam,Normal,$17.25 
60X60CM ,INSE-013,INSERTS,Duck Feather - Foam,Firm Fill,$17.85 
