Product Name,Category,Sku,Filling,Weight, Customer Price ,,
50X50CM,INSERTS,INTERIOR - 171,Duck Feather - Foam,Firm Fill,$14.10,,
50X50CM,INSERTS,INTERIOR - 172,Duck Feather - Foam,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,INTERIOR - 173,Duck Feather - Fibre,Normal,$13.50,,
50X50CM,INSERTS,INTERIOR - 174,Duck Feather - Fibre,Firm Fill,$14.10,,
50X50CM,INSERTS,INTERIOR - 175,Duck Feather - Fibre,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,INTERIOR - 176,100% Polyester,Normal,$13.50,,
50X50CM,INSERTS,INTERIOR - 177,100% Polyester,Firm Fill,$14.10,,
50X50CM,INSERTS,INTERIOR - 178,100% Polyester,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,INTERIOR - 179,30% Down 70% Feather,Normal,$26.50,,
50X50CM,INSERTS,INTERIOR - 180,30% Down 70% Feather,Firm Fill,$29.10,,
50X50CM,INSERTS,INTERIOR - 181,30% Down 70% Feather,Extra Firm Fill,$31.70,,
50X50CM,INSERTS,INTERIOR - 182,50% Down 50% Feather,Normal,$45.00,,
50X50CM,INSERTS,INTERIOR - 183,50% Down 50% Feather,Firm Fill,$47.60,,
50X50CM,INSERTS,INTERIOR - 184,50% Down 50% Feather,Extra Firm Fill,$50.20,,
50X50CM,INSERTS,INTERIOR - 185,80% Down 20% Feather,Normal,$56.00,,
50X50CM,INSERTS,INTERIOR - 186,80% Down 20% Feather,Firm Fill,$58.60,,
50X50CM,INSERTS,INTERIOR - 187,80% Down 20% Feather,Extra Firm Fill,$61.20,,
50X80CM,INSERTS,INTERIOR - 188,100% Feather,Normal,$26.00,,
50X80CM,INSERTS,INTERIOR - 189,100% Feather,Firm Fill,$28.60,,
50X80CM,INSERTS,INTERIOR - 190,100% Feather,Extra Firm Fill,$31.20,,
50X80CM,INSERTS,INTERIOR - 191,Duck Feather - Foam,Normal,$32.75,,
50X80CM,INSERTS,INTERIOR - 192,Duck Feather - Foam,Firm Fill,$26.60,,
50X80CM,INSERTS,INTERIOR - 193,Duck Feather - Foam,Extra Firm Fill,$27.20,,
50X80CM,INSERTS,INTERIOR - 194,Duck Feather - Fibre,Normal,$32.75,,
50X80CM,INSERTS,INTERIOR - 195,Duck Feather - Fibre,Firm Fill,$33.35,,
50X80CM,INSERTS,INTERIOR - 196,Duck Feather - Fibre,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,INTERIOR - 197,100% Polyester,Normal,$32.75,,
50X80CM,INSERTS,INTERIOR - 198,100% Polyester,Firm Fill,$33.35,,
50X80CM,INSERTS,INTERIOR - 199,100% Polyester,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,INTERIOR - 200,30% Down 70% Feather,Normal,$58.60,,
50X80CM,INSERTS,INTERIOR - 201,30% Down 70% Feather,Firm Fill,$61.20,,
50X80CM,INSERTS,INTERIOR - 202,30% Down 70% Feather,Extra Firm Fill,$63.80,,
50X80CM,INSERTS,INTERIOR - 203,50% Down 50% Feather,Normal,$80.50,,
50X80CM,INSERTS,INTERIOR - 204,50% Down 50% Feather,Firm Fill,$83.10,,
50X80CM,INSERTS,INTERIOR - 205,50% Down 50% Feather,Extra Firm Fill,$85.70,,
50X80CM,INSERTS,INTERIOR - 206,80% Down 20% Feather,Normal,$95.00,,
50X80CM,INSERTS,INTERIOR - 207,80% Down 20% Feather,Firm Fill,$97.60,,
50X80CM,INSERTS,INTERIOR - 208,80% Down 20% Feather,Extra Firm Fill,$100.20,,
50X90CM,INSERTS,INTERIOR - 209,100% Feather,Normal,$29.30,,
50X90CM,INSERTS,INTERIOR - 210,100% Feather,Firm Fill,$31.90,,
50X90CM,INSERTS,INTERIOR - 211,100% Feather,Extra Firm Fill,$34.50,,
50X90CM,INSERTS,INTERIOR - 212,Duck Feather - Foam,Normal,$38.50,,
50X90CM,INSERTS,INTERIOR - 213,Duck Feather - Foam,Firm Fill,$41.10,,
50X90CM,INSERTS,INTERIOR - 214,Duck Feather - Foam,Extra Firm Fill,$43.70,,
50X90CM,INSERTS,INTERIOR - 215,Duck Feather - Fibre,Normal,$38.50,,
50X90CM,INSERTS,INTERIOR - 216,Duck Feather - Fibre,Firm Fill,$29.90,,
50X90CM,INSERTS,INTERIOR - 217,Duck Feather - Fibre,Extra Firm Fill,$30.50,,
50X90CM,INSERTS,INTERIOR - 218,100% Polyester,Normal,$38.50,,
50X90CM,INSERTS,INTERIOR - 219,100% Polyester,Firm Fill,$29.90,,
50X90CM,INSERTS,INTERIOR - 220,100% Polyester,Extra Firm Fill,$30.50,,
50X90CM,INSERTS,INTERIOR - 221,30% Down 70% Feather,Normal,$71.00,,
50X90CM,INSERTS,INTERIOR - 222,30% Down 70% Feather,Firm Fill,$73.60,,
50X90CM,INSERTS,INTERIOR - 223,30% Down 70% Feather,Extra Firm Fill,$76.20,,
