Product Name,SKU,Category,Category,Filling,Weight,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Foam,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Polyester,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Polyester,Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,30% Down 70% Feather,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,50% Down 50% Feather,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
