Product	Category	SKU	Filling	Weight	Price
50X80CM	INSERTS	POULOS217	100% Polyester	Extra Firm Fill	$33.95
50X80CM	INSERTS	POULOS218	100% Polyester	Firm Fill	$33.35
50X80CM	INSERTS	POULOS219	100% Polyester	Normal	$32.75
50X80CM	INSERTS	POULOS220	30% Down 70% Feather	Extra Firm Fill	$63.80
50X80CM	INSERTS	POULOS221	30% Down 70% Feather	Firm Fill	$61.20
50X80CM	INSERTS	POULOS222	30% Down 70% Feather	Normal	$58.60
50X80CM	INSERTS	POULOS223	50% Down 50% Feather	Extra Firm Fill	$85.70
50X80CM	INSERTS	POULOS224	50% Down 50% Feather	Firm Fill	$83.10
50X80CM	INSERTS	POULOS225	50% Down 50% Feather	Normal	$80.50
50X80CM	INSERTS	POULOS226	80% Down 20% Feather	Extra Firm Fill	$100.20
50X80CM	INSERTS	POULOS227	80% Down 20% Feather	Firm Fill	$97.60
50X80CM	INSERTS	POULOS228	80% Down 20% Feather	Normal	$95.00
50X80CM	INSERTS	POULOS229	Duck Feather - Fibre	Extra Firm Fill	$33.95
50X80CM	INSERTS	POULOS230	Duck Feather - Fibre	Firm Fill	$33.35
50X80CM	INSERTS	POULOS231	Duck Feather - Fibre	Normal	$32.75
50X80CM	INSERTS	POULOS232	Duck Feather - Foam	Extra Firm Fill	$27.20
50X80CM	INSERTS	POULOS233	Duck Feather - Foam	Firm Fill	$26.60
50X80CM	INSERTS	POULOS234	Duck Feather - Foam	Normal	$32.75
50X90CM	INSERTS	POULOS235	100% Feather	Extra Firm Fill	$34.50
50X90CM	INSERTS	POULOS236	100% Feather	Firm Fill	$31.90
50X90CM	INSERTS	POULOS237	100% Feather	Normal	$29.30
50X90CM	INSERTS	POULOS238	100% Polyester	Extra Firm Fill	$30.50
50X90CM	INSERTS	POULOS239	100% Polyester	Firm Fill	$29.90
50X90CM	INSERTS	POULOS240	100% Polyester	Normal	$38.50
50X90CM	INSERTS	POULOS241	30% Down 70% Feather	Extra Firm Fill	$76.20
50X90CM	INSERTS	POULOS242	30% Down 70% Feather	Firm Fill	$73.60
50X90CM	INSERTS	POULOS243	30% Down 70% Feather	Normal	$71.00
50X90CM	INSERTS	POULOS244	50% Down 50% Feather	Extra Firm Fill	$97.75
50X90CM	INSERTS	POULOS245	50% Down 50% Feather	Firm Fill	$95.15
50X90CM	INSERTS	POULOS246	50% Down 50% Feather	Normal	$92.55
50X90CM	INSERTS	POULOS247	80% Down 20% Feather	Extra Firm Fill	$112.20
50X90CM	INSERTS	POULOS248	80% Down 20% Feather	Firm Fill	$109.60
50X90CM	INSERTS	POULOS249	80% Down 20% Feather	Normal	$107.00
50X90CM	INSERTS	POULOS250	Duck Feather - Fibre	Extra Firm Fill	$30.50
50X90CM	INSERTS	POULOS251	Duck Feather - Fibre	Firm Fill	$29.90
50X90CM	INSERTS	POULOS252	Duck Feather - Fibre	Normal	$38.50
50X90CM	INSERTS	POULOS253	Duck Feather - Foam	Extra Firm Fill	$43.70
50X90CM	INSERTS	POULOS254	Duck Feather - Foam	Firm Fill	$41.10
50X90CM	INSERTS	POULOS255	Duck Feather - Foam	Normal	$38.50
55X55CM	INSERTS	POULOS256	100% Feather	Extra Firm Fill	$13.85
55X55CM	INSERTS	POULOS257	100% Feather	Firm Fill	$13.25
55X55CM	INSERTS	POULOS258	100% Feather	Normal	$12.65
