Product Name,Category,,Filling,Weight, Customer Price ,,
50X50CM ,INSERTS,PFH172,Duck Feather - Fibre,Extra Firm Fill,$14.70,,
50X50CM ,INSERTS,PFH173,100% Polyester,Normal,$13.50,,
50X50CM ,INSERTS,PFH174,100% Polyester,Firm Fill,$14.10,,
50X50CM ,INSERTS,PFH175,100% Polyester,Extra Firm Fill,$14.70,,
50X50CM ,INSERTS,PFH176,30% Down 70% Feather,Normal,$26.50,,
50X50CM ,INSERTS,PFH177,30% Down 70% Feather,Firm Fill,$29.10,,
50X50CM ,INSERTS,PFH178,30% Down 70% Feather,Extra Firm Fill,$31.70,,
50X50CM ,INSERTS,PFH179,50% Down 50% Feather,Normal,$45.00,,
50X50CM ,INSERTS,PFH180,50% Down 50% Feather,Firm Fill,$47.60,,
50X50CM ,INSERTS,PFH181,50% Down 50% Feather,Extra Firm Fill,$50.20,,
50X50CM ,INSERTS,PFH182,80% Down 20% Feather,Normal,$56.00,,
50X50CM ,INSERTS,PFH183,80% Down 20% Feather,Firm Fill,$58.60,,
50X50CM ,INSERTS,PFH184,80% Down 20% Feather,Extra Firm Fill,$61.20,,
50X80CM,INSERTS,PFH185,100% Feather,Normal,$26.00,,
50X80CM,INSERTS,PFH186,100% Feather,Firm Fill,$28.60,,
50X80CM,INSERTS,PFH187,100% Feather,Extra Firm Fill,$31.20,,
50X80CM,INSERTS,PFH188,Duck Feather - Foam,Normal,$32.75,,
50X80CM,INSERTS,PFH189,Duck Feather - Foam,Firm Fill,$26.60,,
50X80CM,INSERTS,PFH190,Duck Feather - Foam,Extra Firm Fill,$27.20,,
50X80CM,INSERTS,PFH191,Duck Feather - Fibre,Normal,$32.75,,
50X80CM,INSERTS,PFH192,Duck Feather - Fibre,Firm Fill,$33.35,,
50X80CM,INSERTS,PFH193,Duck Feather - Fibre,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,PFH194,100% Polyester,Normal,$32.75,,
50X80CM,INSERTS,PFH195,100% Polyester,Firm Fill,$33.35,,
50X80CM,INSERTS,PFH196,100% Polyester,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,PFH197,30% Down 70% Feather,Normal,$58.60,,
50X80CM,INSERTS,PFH198,30% Down 70% Feather,Firm Fill,$61.20,,
50X80CM,INSERTS,PFH199,30% Down 70% Feather,Extra Firm Fill,$63.80,,
50X80CM,INSERTS,PFH200,50% Down 50% Feather,Normal,$80.50,,
50X80CM,INSERTS,PFH201,50% Down 50% Feather,Firm Fill,$83.10,,
50X80CM,INSERTS,PFH202,50% Down 50% Feather,Extra Firm Fill,$85.70,,
50X80CM,INSERTS,PFH203,80% Down 20% Feather,Normal,$95.00,,
50X80CM,INSERTS,PFH204,80% Down 20% Feather,Firm Fill,$97.60,,
50X80CM,INSERTS,PFH205,80% Down 20% Feather,Extra Firm Fill,$100.20,,
50X90CM,INSERTS,PFH206,100% Feather,Normal,$29.30,,
50X90CM,INSERTS,PFH207,100% Feather,Firm Fill,$31.90,,
50X90CM,INSERTS,PFH208,100% Feather,Extra Firm Fill,$34.50,,
50X90CM,INSERTS,PFH209,Duck Feather - Foam,Normal,$38.50,,
50X90CM,INSERTS,PFH210,Duck Feather - Foam,Firm Fill,$41.10,,
50X90CM,INSERTS,PFH211,Duck Feather - Foam,Extra Firm Fill,$43.70,,
50X90CM,INSERTS,PFH212,Duck Feather - Fibre,Normal,$38.50,,
