Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
40 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 27,Duck Feather,Firm Fill,50.60,
40 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 27,Duck Feather,Extra Firm Fill,51.20,
40 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 28,Duck Feather,Normal,51.00,
40 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 28,Duck Feather,Firm Fill,51.60,
40 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 28,Duck Feather,Extra Firm Fill,52.20,
40 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 29,Duck Feather,Normal,13.20,
40 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 29,Duck Feather,Firm Fill,13.80,
40 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 29,Duck Feather,Extra Firm Fill,14.40,
40 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 30,Duck Feather,Normal,14.50,
40 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 30,Duck Feather,Firm Fill,15.10,
40 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 30,Duck Feather,Extra Firm Fill,15.70,
40 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 31,Duck Feather,Normal,15.50,
40 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 31,Duck Feather,Firm Fill,16.10,
40 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 31,Duck Feather,Extra Firm Fill,16.70,
40 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 32,Duck Feather,Normal,16.50,
40 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 32,Duck Feather,Firm Fill,17.10,
40 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 32,Duck Feather,Extra Firm Fill,17.70,
40 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 33,Duck Feather,Normal,16.65,
40 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 33,Duck Feather,Firm Fill,17.25,
40 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 33,Duck Feather,Extra Firm Fill,17.85,
40 x 85cm duck feather,CUSTOM INSERTS,CUSTINNERS - 34,Duck Feather,Normal,20.00,
40 x 85cm duck feather,CUSTOM INSERTS,CUSTINNERS - 34,Duck Feather,Firm Fill,20.60,
40 x 85cm duck feather,CUSTOM INSERTS,CUSTINNERS - 34,Duck Feather,Extra Firm Fill,21.20,
40 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 35,Duck Feather,Normal,26.00,
40 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 35,Duck Feather,Firm Fill,26.60,
40 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 35,Duck Feather,Extra Firm Fill,27.20,
43  x 43cm duck feather,CUSTOM INSERTS,CUSTINNERS - 36,Duck Feather,Normal,14.20,
43  x 43cm duck feather,CUSTOM INSERTS,CUSTINNERS - 36,Duck Feather,Firm Fill,14.80,
43  x 43cm duck feather,CUSTOM INSERTS,CUSTINNERS - 36,Duck Feather,Extra Firm Fill,15.40,
44 x 44cm duck feather,CUSTOM INSERTS,CUSTINNERS - 37,Duck Feather,Normal,58.00,
44 x 44cm duck feather,CUSTOM INSERTS,CUSTINNERS - 37,Duck Feather,Firm Fill,58.60,
44 x 44cm duck feather,CUSTOM INSERTS,CUSTINNERS - 37,Duck Feather,Extra Firm Fill,59.20,
45 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 38,Duck Feather,Normal,30.30,
45 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 38,Duck Feather,Firm Fill,30.90,
45 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 38,Duck Feather,Extra Firm Fill,31.50,
45 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 39,Duck Feather,Normal,50.00,
45 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 39,Duck Feather,Firm Fill,50.60,
45 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 39,Duck Feather,Extra Firm Fill,51.20,
45 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 40,Duck Feather,Normal,55.75,
45 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 40,Duck Feather,Firm Fill,56.35,
45 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 40,Duck Feather,Extra Firm Fill,56.95,
45 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 41,Duck Feather,Normal,13.20,
45 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 41,Duck Feather,Firm Fill,13.80,
